Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Large Class,Emby.Naming,Emby.Naming.AudioBook,AudioBookFileInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,35,29,1,54,0,0,0,0,0,1,0,0,7,3,0,0,0,0,1,0,0,0,0,0
Large Class,Emby.Naming,Emby.Naming.Common,NamingOptions,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,29,2,54,0,0,0,0,0,2,0,0,2,2,0,0,0,0,1,0,0,0,0,0
Large Class,Emby.Naming,Emby.Naming.Subtitles,SubtitleInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,29,0,54,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
Large Class,Emby.Naming,Emby.Naming.TV,SeasonPathParser,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,35,29,3,54,0,0,0,0,0,4,0,0,9,5,0,0,0,0,1,0,0,0,0,1
Large Class,Emby.Naming,Emby.Naming.Video,CleanDateTimeParser,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,35,29,2,54,0,0,0,0,0,2,0,0,32,18,0,0,0,0,1,0,0,0,0,0
Large Class,Emby.Naming,Emby.Naming.Video,Format3DParser,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,35,29,1,54,0,0,0,0,0,3,0,0,32,18,0,0,0,0,1,0,0,0,0,1
Large Class,Emby.Naming,Emby.Naming.Video,VideoInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,35,29,0,54,0,0,0,0,0,0,0,0,32,18,0,0,0,0,1,0,0,0,0,0
