Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Large Class,MediaBrowser.Providers,MediaBrowser.Providers.Manager,ProviderUtils,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,103,264,7,430,0,0,0,0,0,7,0,0,113,64,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Providers,MediaBrowser.Providers.MediaInfo,SubtitleDownloader,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,103,264,2,430,0,0,0,0,0,3,0,0,50,26,0,0,0,0,1,0,0,0,0,2
Large Class,MediaBrowser.Providers,MediaBrowser.Providers.Plugins.AudioDb,AudioDbArtistProvider,,1,2,2,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,103,264,6,430,0,0,0,0,0,9,0,0,33,23,0,0,0,0,1,0,0,0,0,5
Large Class,MediaBrowser.Providers,MediaBrowser.Providers.Plugins.Omdb,OmdbImageProvider,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,103,264,2,430,0,0,0,0,0,4,0,0,36,17,0,0,0,0,1,0,0,0,0,4
Large Class,MediaBrowser.Providers,MediaBrowser.Providers.Plugins.Omdb,OmdbProvider,,1,3,3,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,103,264,5,430,0,0,0,0,0,15,0,0,36,17,0,0,0,0,1,0,0,0,0,6
Large Class,MediaBrowser.Providers,MediaBrowser.Providers.Plugins.Tmdb.TV,TmdbSeasonProvider,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,103,264,1,430,0,0,0,0,0,3,0,0,26,10,0,0,0,0,1,0,0,0,0,2
Large Class,MediaBrowser.Providers,MediaBrowser.Providers.Studios,StudiosImageProvider,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,103,264,8,430,0,0,0,0,0,13,0,0,14,9,0,0,0,0,1,0,0,0,0,3
Large Class,MediaBrowser.Providers,MediaBrowser.Providers.TV,EpisodeMetadataService,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,103,264,2,430,0,0,0,0,0,2,0,0,14,13,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Providers,MediaBrowser.Providers.TV,SeasonMetadataService,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,103,264,5,430,0,0,0,0,0,5,0,0,14,13,0,0,0,0,1,0,0,0,0,0
