Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Large Class,Lidgren.Network,Lidgren.Network,NetXorEncryption,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,65,155,0,475,0,0,0,0,0,3,0,0,475,155,0,0,0,0,1,0,0,0,1,1
Large Class,Lidgren.Network,Lidgren.Network,NetBigInteger,,1,3,3,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,65,65,155,21,475,0,0,0,0,0,62,0,0,475,155,0,0,0,0,1,0,0,0,5,21
Large Class,Lidgren.Network,Lidgren.Network,NetFragmentationHelper,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,155,4,475,0,0,0,0,0,4,0,0,475,155,0,0,0,0,1,0,0,0,0,0
Large Class,Lidgren.Network,Lidgren.Network,NetOutgoingMessage,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,65,65,155,1,475,0,0,0,0,0,5,0,0,475,155,0,0,0,0,1,0,0,0,7,0
Large Class,Lidgren.Network,Lidgren.Network,CryptoRandom,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,65,65,155,0,475,0,0,0,0,0,4,0,0,475,155,0,0,0,0,1,0,0,0,1,1
Large Class,Lidgren.Network,Lidgren.Network,NetSenderChannelBase,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,65,155,5,475,0,0,0,0,0,5,0,0,475,155,0,0,0,0,1,0,0,0,1,0
