Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Feature Envy,Jellyfin.Server.Implementations,Jellyfin.Server.Implementations.Activity,ActivityManager,ConvertToOldModel(ActivityLog entry),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,53,49,1,114,0,0,0,0,0,4,0,0,4,1,0,0,0,0,1,0,0,0,0,1
Feature Envy,Jellyfin.Server.Implementations,Jellyfin.Server.Implementations.Users,UserManager,"UpdateConfigurationAsync(Guid userId, UserConfiguration config)",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,53,49,7,114,0,0,0,0,0,30,0,0,49,14,0,0,0,0,2,3,2.076923076923077,0,0,13
Feature Envy,Jellyfin.Server.Implementations,Jellyfin.Server.Implementations.Users,UserManager,"AuthenticateLocalUser(string username, string password, User? user, string remoteEndPoint)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,53,49,7,114,0,0,0,0,0,30,0,0,49,14,0,0,0,0,4,3,2.375,2,0,13
