Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Feature Envy,Radarr.Api.V3,Radarr.Api.V3.Blocklist,BlocklistResourceMapper,"MapToResource(this NzbDrone.Core.Blocklisting.Blocklist model, ICustomFormatCalculationService formatCalculator)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,185,171,1,348,0,0,0,0,0,1,0,0,5,1,0,0,0,0,2,3,2.3333333333333335,0,0,0
Feature Envy,Radarr.Api.V3,Radarr.Api.V3.Config,IndexerConfigResourceMapper,ToResource(IConfigService model),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,185,171,1,348,0,0,0,0,0,1,0,0,29,21,0,0,0,0,1,0,0,0,0,0
Feature Envy,Radarr.Api.V3,Radarr.Api.V3.History,HistoryResourceMapper,"ToResource(this MovieHistory model, ICustomFormatCalculationService formatCalculator)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,185,171,1,348,0,0,0,0,0,1,0,0,6,1,0,0,0,0,2,2,2,0,0,0
Feature Envy,Radarr.Api.V3,Radarr.Api.V3.MovieFiles,MovieFileController,SetMovieFile(MovieFileResource movieFileResource),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,185,171,2,348,0,0,0,0,0,8,0,0,12,6,0,0,0,0,1,2,2,0,0,5
Feature Envy,Radarr.Api.V3,Radarr.Api.V3.MovieFiles,MovieFileController,SetMovieFile([FromBody] MovieFileListResource resource),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,185,171,2,348,0,0,0,0,0,8,0,0,12,6,0,0,0,0,1,3,2.111111111111111,0,0,5
Feature Envy,Radarr.Api.V3,Radarr.Api.V3.MovieFiles,MovieFileResourceMapper,ToResource(this MovieFile model),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,185,171,2,348,0,0,0,0,0,2,0,0,12,6,0,0,0,0,1,3,3,0,0,0
Feature Envy,Radarr.Api.V3,Radarr.Api.V3.MovieFiles,MovieFileResourceMapper,"ToResource(this MovieFile model, NzbDrone.Core.Movies.Movie movie, IUpgradableSpecification upgradableSpecification)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,185,171,2,348,0,0,0,0,0,2,0,0,12,6,0,0,0,0,3,3,2.5,0,0,0
