Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Feature Envy,Duplicati.Library.Backend.GoogleServices,Duplicati.Library.Backend.GoogleDrive,GoogleDrive,"PutAsync(string remotename, System.IO.Stream stream, CancellationToken cancelToken)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,24,41,5,60,0,0,0,0,0,16,0,0,16,5,0,0,0,0,3,3,2.2,2,1,8
Feature Envy,Duplicati.Library.Backend.GoogleServices,Duplicati.Library.Backend.GoogleDrive,GoogleDrive,"PutAsync(string remotename, string filename, CancellationToken cancelToken)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,24,41,5,60,0,0,0,0,0,16,0,0,16,5,0,0,0,0,3,4,4,1,1,8
Feature Envy,Duplicati.Library.Backend.GoogleServices,Duplicati.Library.Backend.WebApi,GoogleCloudStorage,PutUrl(string bucketId),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,24,41,9,60,0,0,0,0,0,9,0,0,22,22,0,0,0,0,1,2,2,0,0,0
