Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Feature Envy,Duplicati.Server,Duplicati.Server.WebServer,RESTHandler,"DoProcess(RequestInfo info, string method, string module, string key)",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,81,184,4,328,0,0,0,0,0,7,0,0,33,14,0,0,0,0,4,4,2.6538461538461537,1,0,2
Feature Envy,Duplicati.Server,Duplicati.Server.WebServer,RESTHandler,"DoProcess(HttpServer.IHttpRequest request, HttpServer.IHttpResponse response, HttpServer.Sessions.IHttpSession session, string method, string module, string key)",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,81,184,4,328,0,0,0,0,0,7,0,0,33,14,0,0,0,0,6,0,0,1,0,2
Feature Envy,Duplicati.Server,Duplicati.Server.WebServer.RESTMethods,Backups,ImportBackup(RequestInfo info),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,81,184,5,328,0,0,0,0,0,5,0,0,96,84,0,0,0,0,1,4,2.7058823529411766,1,0,0
Feature Envy,Duplicati.Server,Duplicati.Server.WebServer.RESTMethods,Backups,"ImportBackup(string configurationFile, bool importMetadata, Func<string> getPassword, Dictionary<string, string> advancedOptions)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,81,184,5,328,0,0,0,0,0,5,0,0,96,84,0,0,0,0,4,3,2.2857142857142856,1,0,0
Feature Envy,Duplicati.Server,Duplicati.Server.WebServer.RESTMethods,ServerState,"POST(string key, RequestInfo info)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,81,184,2,328,0,0,0,0,0,2,0,0,96,84,0,0,0,0,2,4,2.5,0,0,0
Feature Envy,Duplicati.Server,Duplicati.Server.WebServer.RESTMethods,ServerSettings,"GET(string key, RequestInfo info)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,81,184,2,328,0,0,0,0,0,2,0,0,96,84,0,0,0,0,2,4,2.3636363636363638,0,0,0
Feature Envy,Duplicati.Server,Duplicati.Server.WebServer.RESTMethods,Backup,"ExportToJSON(IBackup backup, string passphrase)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,81,184,25,328,0,0,0,0,0,25,0,0,96,84,0,0,0,0,2,3,2.1666666666666665,0,0,0
Feature Envy,Duplicati.Server,Duplicati.Server.WebServer.RESTMethods,Changelog,"GET(string key, RequestInfo info)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,81,184,1,328,0,0,0,0,0,1,0,0,96,84,0,0,0,0,2,4,3.1818181818181817,0,0,0
